seriesId,platformId,platformUrl
1ef30d40-7aec-6c93-a572-26509ad15030,9,https://www.paramountplus.com/shows/south-park/video/sKBdY6WpPnUgNfpg2T9iCVRP3KNqbHxn/south-park-cartman-gets-an-anal-probe?searchReferral=
1ef30d40-7aec-6c93-a572-26509ad15030,10,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.8ea9f661-2580-0019-3c20-535af41ac690
1ef30d40-7aec-6c93-a572-26509ad15030,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.7aa9f67e-d457-8cc9-20a6-ecea13583e4c
1ef30d40-7aec-6c93-a572-26509ad15030,4,https://tv.apple.com/gb/show/south-park/umc.cmc.1n9fnkfiemhayikewq5xitzn6?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-7aec-6c93-a572-26509ad15030,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwzlctjg
1ef30d40-7aec-6c93-a572-26509ad15030,5,https://www.skystore.com/product/south-park-season-1/9703d1cb-2312-468b-83c6-3a23dc91a0f2
1ef30d40-7aec-6c93-a572-26509ad15030,2,https://www.nowtv.com/watch/south-park/795af888e04ef410VgnVCM1000000b43150a____/seasons/1/episodes/1/A5EK6JrCA9fu1ozEu1nfy
1ef30d40-8c81-6504-b0c2-22210a28239f,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.02a9f688-4381-5e80-483c-2870c01c2364
1ef30d40-8c81-6504-b0c2-22210a28239f,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwzlcfkk
1ef30d40-8c81-6504-b0c2-22210a28239f,4,https://tv.apple.com/gb/show/law--order-special-victims-unit/umc.cmc.172avp74w4r2h59qogn39svn1?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-8c81-6504-b0c2-22210a28239f,8,http://www.netflix.com/title/70140403
1ef30d40-968f-6411-8eeb-67da362ef702,1,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Funder-the-bridge%2F7c13waZGU8Fs&subId3=justappsvod
1ef30d40-ada8-61c2-a5a9-04eb85e536f2,15,https://tv.apple.com/gb/episode/nikki-and-jason/umc.cmc.2dzdkdvedw0n9h25d49y9lh99?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AVANGL0560101&showId=umc.cmc.6muy4la7lj1omu5nci4bt2m66
1ef30d40-b8cc-69d1-82dc-effded96e7f9,9,https://www.paramountplus.com/shows/mayor-of-kingstown/video/Kwe1AWYSsDfDsCrztx2Oo_nUPYhjQr8C/mayor-of-kingstown-the-mayor-of-kingstown?searchReferral=
1ef30d40-b8cc-69d1-82dc-effded96e7f9,10,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5d44f098-789d-4531-bcef-a221a506e0a0
1ef30d40-b8cc-69d1-82dc-effded96e7f9,4,https://tv.apple.com/gb/show/mayor-of-kingstown/umc.cmc.52b8sl24cni4kw4b75afuatt8?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d40-b8cc-69d1-82dc-effded96e7f9,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.5cb91ecd-0def-45c3-a6cb-0fd0ad145a15
1ef30d40-b8cc-69d1-82dc-effded96e7f9,5,https://www.skystore.com/product/the-mayor-of-kingstown-season-1/18ff6892-f18a-4798-8375-ac5f02d03fd6
